# GA run_dir=experiments/ga_shelter/20260311-152153_0035b64b
#S2 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=12 nevals=45 stats={'avg': np.float64(249.27142857142857), 'std': np.float64(18.285178563580963), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3)]
gen=13 nevals=45 stats={'avg': np.float64(248.10714285714286), 'std': np.float64(17.706514712537476), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3)]
gen=14 nevals=38 stats={'avg': np.float64(244.86428571428573), 'std': np.float64(13.61404774188659), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3)]
gen=15 nevals=46 stats={'avg': np.float64(245.69285714285715), 'std': np.float64(15.549757200020581), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3)]
gen=16 nevals=48 stats={'avg': np.float64(243.15), 'std': np.float64(11.870536755224798), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3)]
gen=17 nevals=44 stats={'avg': np.float64(244.9142857142857), 'std': np.float64(15.822897384254667), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3)]
gen=18 nevals=46 stats={'avg': np.float64(242.9), 'std': np.float64(12.116281843630318), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3)]
gen=19 nevals=34 stats={'avg': np.float64(242.57142857142858), 'std': np.float64(12.152097324649562), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 27, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 27, 26], (240.0,), 19), ([32, 55, 59, 33, 17, 26], (242.0,), 3)]
gen=20 nevals=44 stats={'avg': np.float64(244.85714285714286), 'std': np.float64(15.318789316471747), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 27, 26], (240.0,), 19), ([32, 55, 59, 33, 17, 26], (242.0,), 3)]
gen=21 nevals=46 stats={'avg': np.float64(244.32857142857142), 'std': np.float64(14.734528378289282), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 27, 26], (240.0,), 19), ([32, 55, 59, 33, 17, 26], (242.0,), 3)]
