# GA run_dir=experiments/ga_shelter/20260311-112311_85911e49
#S3 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=12 nevals=44 stats={'avg': np.float64(230.82857142857142), 'std': np.float64(25.92460024685402), 'min': np.float64(215.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,))] overall_top3=[([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11), ([33, 49, 0, 35, 29, 52], (221.0,), 2)]
gen=13 nevals=47 stats={'avg': np.float64(229.97142857142856), 'std': np.float64(25.143571418425612), 'min': np.float64(215.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 29, 52], (221.0,))] overall_top3=[([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11), ([33, 49, 0, 35, 29, 52], (221.0,), 2)]
gen=14 nevals=44 stats={'avg': np.float64(224.64285714285714), 'std': np.float64(17.251116497437586), 'min': np.float64(215.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 28, 52], (215.0,))] overall_top3=[([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11), ([33, 49, 0, 35, 29, 52], (221.0,), 2)]
gen=15 nevals=51 stats={'avg': np.float64(232.9), 'std': np.float64(30.213596749996988), 'min': np.float64(215.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 28, 52], (215.0,))] overall_top3=[([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11), ([33, 49, 0, 35, 29, 52], (221.0,), 2)]
gen=16 nevals=46 stats={'avg': np.float64(221.31428571428572), 'std': np.float64(17.046610770927757), 'min': np.float64(215.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 28, 52], (215.0,))] overall_top3=[([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11), ([33, 49, 0, 35, 29, 52], (221.0,), 2)]
gen=17 nevals=42 stats={'avg': np.float64(222.71428571428572), 'std': np.float64(23.250279787651625), 'min': np.float64(213.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 35, 28, 52], (215.0,)), ([33, 49, 0, 35, 28, 52], (215.0,))] overall_top3=[([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11)]
gen=18 nevals=53 stats={'avg': np.float64(224.84285714285716), 'std': np.float64(27.043687256144704), 'min': np.float64(213.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 35, 28, 52], (215.0,))] overall_top3=[([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11)]
gen=19 nevals=43 stats={'avg': np.float64(224.38571428571427), 'std': np.float64(26.7417772981009), 'min': np.float64(213.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,))] overall_top3=[([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11)]
gen=20 nevals=44 stats={'avg': np.float64(223.5142857142857), 'std': np.float64(25.960818200369825), 'min': np.float64(213.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,))] overall_top3=[([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11)]
gen=21 nevals=40 stats={'avg': np.float64(221.71428571428572), 'std': np.float64(24.481563242070767), 'min': np.float64(213.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,))] overall_top3=[([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11)]
