# GA run_dir=experiments/ga_shelter/20260311-103058_e3b8941a
#S1 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=12 nevals=37 stats={'avg': np.float64(255.5142857142857), 'std': np.float64(13.635817181382333), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 33, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=13 nevals=46 stats={'avg': np.float64(253.71428571428572), 'std': np.float64(10.058603789993997), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=14 nevals=45 stats={'avg': np.float64(255.18571428571428), 'std': np.float64(12.483466616910155), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 33, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=15 nevals=41 stats={'avg': np.float64(252.42857142857142), 'std': np.float64(6.958184140320824), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=16 nevals=43 stats={'avg': np.float64(255.05714285714285), 'std': np.float64(12.076997869960085), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=17 nevals=49 stats={'avg': np.float64(253.05714285714285), 'std': np.float64(8.172926935552377), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 33, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=18 nevals=47 stats={'avg': np.float64(254.4), 'std': np.float64(11.6525901473817), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=19 nevals=36 stats={'avg': np.float64(253.18571428571428), 'std': np.float64(9.044797805752143), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=20 nevals=49 stats={'avg': np.float64(254.02857142857144), 'std': np.float64(11.134209098310398), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=21 nevals=42 stats={'avg': np.float64(254.61428571428573), 'std': np.float64(11.167929667634214), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 64, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
